Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso,Cilindrada,Tracción,Turbo,7plazas
PEUGEOT,2008,2022.0,FELINE,BLANCO,NAFTA,5.0,AUTOMÁTICA,1.6,SUV,23000,Peugeot 2008 1.6 Feline Tip am20,21844.6592,U$S,TIENDA,NO INDICA,1.6,OTRO,NO,NO
PEUGEOT,2008,2021.0,ALLURE,MARRON,NAFTA,5.0,MANUAL,1.6,SUV,17000,Peugeot 2008 1.6 Allure,21359.2223,U$S,TIENDA,NO INDICA,1.6,OTRO,NO,NO
PEUGEOT,2008,2021.0,ALLURE,MARRON,NAFTA,5.0,MANUAL,1.6,SUV,17500,Peugeot 2008 1.6 Allure,19902.9126,U$S,TIENDA,NO INDICA,1.6,OTRO,NO,NO
PEUGEOT,2008,2018.0,FELINE,BLANCO,NAFTA,5.0,MANUAL,1.6,SUV,123600,Peugeot 2008 1.6 Feline,14563.1068,U$S,TIENDA,NO INDICA,1.6,OTRO,NO,NO
PEUGEOT,2008,2016.0,SPORT,GRIS,NAFTA,5.0,MANUAL,1.6,SUV,43000,Peugeot 2008 1.6 Thp Sport,12135.9223,U$S,TIENDA,NO INDICA,1.6,OTRO,SI,NO
PEUGEOT,2008,2022.0,FELINE,BLANCO,NAFTA,5.0,AUTOMÁTICA,1.6,SUV,14000,Peugeot 2008 1.6 Feline Tip am20,22038.835,U$S,CONCESIONARIA,NO INDICA,1.6,OTRO,NO,NO
PEUGEOT,2008,2022.0,FELINE,PLATEADO,NAFTA,5.0,MANUAL,1.6,SUV,50208,Peugeot 2008 1.6 Feline,20388.3495,U$S,TIENDA,NO INDICA,1.6,OTRO,NO,NO
PEUGEOT,2008,2021.0,FELINE,ROJO,NAFTA,5.0,MANUAL,1.6,SUV,44000,Peugeot 2008 1.6 Feline,18950.0,U$S,CONCESIONARIA,SÍ,1.6,OTRO,NO,NO
PEUGEOT,2008,2018.0,SPORT,MARRON,NAFTA,5.0,MANUAL,1.6,SUV,84000,Peugeot 2008 1.6 Thp Sport,14067.8641,U$S,CONCESIONARIA,NO INDICA,1.6,OTRO,SI,NO
PEUGEOT,2008,2022.0,FELINE,GRIS,NAFTA,5.0,MANUAL,1.6,SUV,50208,Peugeot 2008 1.6 Feline,20388.3495,U$S,TIENDA,NO INDICA,1.6,OTRO,NO,NO
PEUGEOT,2008,2021.0,SPORT,BLANCO,NAFTA,5.0,AUTOMÁTICA,1.6,SUV,34300,Peugeot 2008 1.6 Thp Sport Tip,20194.1748,U$S,TIENDA,NO INDICA,1.6,OTRO,SI,NO
PEUGEOT,2008,2022.0,FELINE,BLANCO,NAFTA,5.0,AUTOMÁTICA,1.6,SUV,42000,Peugeot 2008 1.6 Feline Tip,19320.3883,U$S,TIENDA,NO INDICA,1.6,OTRO,NO,NO
PEUGEOT,2008,2021.0,ALLURE,BLANCO,NAFTA,5.0,MANUAL,1.6,SUV,23000,Peugeot 2008 1.6 Allure am20,19902.9126,U$S,CONCESIONARIA,NO INDICA,1.6,OTRO,NO,NO
PEUGEOT,2008,2019.0,ALLURE,BLANCO,NAFTA,5.0,MANUAL,1.6,SUV,132000,Peugeot 2008 1.6 Allure,13495.1456,U$S,TIENDA,NO INDICA,1.6,OTRO,NO,NO
PEUGEOT,2008,2017.0,ALLURE,GRIS,NAFTA,5.0,MANUAL,1.6,SUV,35224,Peugeot 2008 1.6 Allure,14563.1068,U$S,CONCESIONARIA,NO INDICA,1.6,OTRO,NO,NO
