Color,count
Gris,4622
Blanco,4041
Negro,2194
Plateado,1499
Azul,957
Rojo,940
Marrón,218
Dorado,203
Verde,140
Celeste,63
Naranja,58
Gris oscuro,43
Amarillo,26
Bordó,19
Violeta,9
Beige,8
blue,8
Plata,5
PLATA,4
Café,4
Otro,4
a eleccion,3
Gris plata,3
blanca,3
navy_blue,3
Azul petróleo,3
BLANCA,2
Verde oscuro,2
Acero,2
Azul claro,2
gris plata,2
Ocre,2
Rosa,2
9,1
BILLET SILVER BC,1
NEGRA,1
Negra,1
Moundaz,1
11,1
Grafito,1
GRANITE CRYSTAL,1
BLANCO PURO,1
Marrón claro,1
A elegir,1
todos,1
"blanca, gris, negra",1
GRAY M,1
7,1
ROJO MONTECARLO+TECHO NEGRO,1
AZUL AMALFI BICOLOR,1
GRIS OSCURA,1
Orange,1
Gris etoile/negro,1
Rojo Fuego + Negro,1
NEGRO CON TECHO ROJO,1
plata,1
Champagne,1
BILLET SILVER,1
STING GRAY BC,1
Gris Etoile,1
Blanco Glaciar,1
CARBON BLACK,1
Gris grafito,1
BRANCO POLAR BC,1
steel_blue,1
