Modelo,count
2008,603
208,3
3008,263
4008,26
4Runner,8
5008,11
500X,58
7,3
Actyon,3
Agile,1
Aircross,4
Amigo,2
Blazer,25
Bronco,6
Bronco Sport,132
C-HR,2
C3,13
C3 Aircross,12
C4,2
C4 Aircross,12
C4 Cactus,704
C5 Aircross,103
CR-V,536
Captiva,203
Captur,419
Cayenne,61
Cherokee,105
Clase E,1
Clase GL,2
Clase GLA,143
Clase GLB,36
Clase GLC,136
Clase GLE,51
Clase GLK,84
Clase ML,12
Commander,95
Compass,1026
Cooper Countryman,7
Corolla Cross,518
Countryman,2
Coupe,1
Creta,88
Crossfox,2
DS3,5
DS7,16
DS7 Crossback,9
Defender,19
Discovery,23
Duster,1261
Duster Oroch,293
E-tron,4
Ecosport,1829
Emgrand X7 Sport,14
Equinox,175
Evoque,52
Explorer,18
F-PACE,4
Feroza,4
Forester,48
Freelander,21
Galloper,11
Grand Blazer,1
Grand Cherokee,324
Grand Santa Fé,16
Grand Vitara,75
H1,4
H6,17
HR-V,473
Hilux,1
Hilux SW4,108
Jimny,12
Jolion,2
Journey,272
Kangoo,5
Kicks,57
Koleos,130
Kona,11
Kuga,279
LX,1
Land Cruiser,82
ML,39
Macan,30
Mohave,4
Montero,44
Murano,37
Musso,11
Mustang,3
Myway,11
NX,9
Nativa,7
Nivus,461
Oroch,79
Outback,24
Outlander,29
Panamera,3
Pathfinder,24
Patriot,61
Pilot,10
Pulse,558
Q2,110
Q3,201
Q3 Sportback,38
Q5,327
Q7,81
Q8,25
RAV4,231
Range Rover,10
Range Rover Sport,7
Renegade,1375
Rodeo,7
S2,3
S5,3
SQ5,19
SW4,956
Samurai,4
Sandero,4
Sandero Stepway,12
Santa Fe,148
Seltos,15
Serie 4,9
Sorento,173
Soul,46
Spin,7
Sportage,210
Stelvio,26
Suran,17
T-Cross,411
Taos,896
Terios,8
Terrano II,6
Territory,340
Tiggo,143
Tiggo 2,27
Tiggo 3,80
Tiggo 4,11
Tiggo 4 Pro,36
Tiggo 5,32
Tiggo 8 Pro,12
Tiguan,176
Tiguan Allspace,258
Touareg,28
Tracker,1518
Trailblazer,162
Trooper,15
Tucson,296
UX,13
Veracruz,4
Vitara,56
Wrangler,113
X-Terra,55
X-Trail,132
X1,211
X2,34
X25,7
X3,122
X35,47
X4,50
X5,126
X55,44
X6,85
X70,18
XC40,26
XC60,37
q5 sportback,34
