Motor,count
2.0,4141
1.6,4095
1.8,2617
2.4,1754
1.4,1203
1.5,975
2.8,949
3.0,918
1.3,899
1.2,865
1.0,847
2.5,618
3.6,299
2.2,199
INYECCION MULTI PUNTO,193
1,171
2.7,134
4.0,118
3.5,101
3.8,59
TURBOALIMENTADO,47
2,43
3.2,40
3.7,36
4.8,28
4.4,26
4.2,23
5.2,22
1.5 TURBO 185 HP,21
4.7,18
1.3 TURBO,16
6.4,16
1.3T,15
3.1,14
1.5 Turbo,13
1.3 T270,13
3,13
1.3 Turbo,13
1.0 Turbo,12
4.5,12
1.5 TURBO 148 HP,11
3.3,9
1.6 THP,8
2.3,8
5.0,7
4.3,7
5.7,7
6.1,7
1.2T,7
1.6 Turbo,6
1.5 TURBO,6
1.6 T,6
5.5,6
1.3 turbo,6
250TSI 1.4 150CV,6
1.6 MSI Nafta,6
2.9,6
TURBO DIESEL INYECCION,6
1.2 TURBO,5
1.5T,5
1.6 turbo,5
1.4 TSI,5
1.6 vti,5
2.6,4
2.0T,4
1.3 T,4
T200,4
1.5 turbo,4
V6,4
1.2 turbo,4
1.0 TSI,4
1.3 turbo 175 cv 270 nm,3
1.2 THP,3
1.4 TURBO,3
1.2 Turbo,3
Eléctrico,3
2.0 404HP HIBRIDO ENCHUFABLE,3
2.0L,3
1.3t,3
1.4 T,3
1.2 turbo 3 cilindros,3
1.5 L 115 CV,2
2.5 HIBRIDO,2
1.5 T,2
"Dos, eléctricos (uno por eje)",2
1.6 16V,2
2.0T 198HP MILD HYBRID,2
1.3Tce,2
PURETECH 1.6 215CV,2
B4,2
3.6 V6,2
1.6 SENSE MT,2
2.0 TDI,2
1.8 TURBO,2
1.5 Turbo Dct - Luxury,2
Doble motor eléctrico de 487 CV de potencia y 860 Nm de Torque,2
1.6 TGDI 180HP,2
TURBO,2
2.8 204cv,2
1.0 170 TSI,2
1.4 250 TSI  150 CV,2
1.4 turbo,2
1.4T,2
1.4 250TSI,2
250 TSI,2
250tsi 1.4 150cv,2
1.4 150 CV  250 TSI,2
1.4 150 CV 250 TSI,2
1.5t,2
1.8 nafta,2
1.8 Nafta,2
1.3 270T,2
1.8 L,2
1.2T AT,2
1.8t,2
1.0 170TSI,2
1.0 turbo,2
1.0 tsi,2
1.0 116 CV 200 TSI,2
2.2 TDI,2
1.0 TURBO,2
2.0 T,2
Hibrido,2
1.9,2
Motor 2.8 turbo diesel,2
2.0 TFSI 245cv,2
2.0 TFSI,2
2.5 AWD,2
222 CV,2
1.0t,2
1.0TSI,2
1.6 thp,2
2.8 TDI,2
3.6L,2
1.6 THP TURBO,2
1.3 t270,2
1.6T,2
nafta,2
3.0 V6,2
3.0 V6 353HP,2
1.8l AT.,1
1.5 Turbo 143cv,1
1500 turbo,1
1.8 185CV,1
1.0  120 CV T.200,1
1.8l Ecoboost 185cv,1
ECOBOOST 1.8T 187HP,1
FORD 1.8 litros EcoBoost de 185 CV,1
Turbo,1
1.8 TURBO 180 CV,1
1997,1
ECOBOST 1.8T,1
THP 1.6 165 CV,1
1.8 Ecoboost,1
1.8 L 185CV ECOBOOST,1
1.8l 185cv,1
1500,1
1.4 tsi 200,1
1600,1
3 en línea 12 v,1
1.6 TURBO THP,1
4.2 v8,1
v8,1
2.O 350 TSI,1
2.0 TSI 220cv,1
2.0 TURBO,1
2.0 350 tsi,1
1.4 Turbo,1
turbo 1.4,1
4 Motion,1
2.0 TSI,1
1.4t,1
1.4L,1
1.4 Nafta,1
2.0 L 230 CV  350 TSI,1
1.4 tsi dsg,1
1.4 TSI 250,1
hibrido,1
TURBODIESEL,1
1.6 VTI 115 CV,1
VTI 115,1
250TSI 1.4 150CV TIP,1
250TSI 1.4 150 CV,1
1.6 115CV,1
1.4 250 TSI,1
1.0  95 CV  170 TSI,1
170 tsi,1
1.6 VTI,1
thp,1
1.0 TSI MT,1
1.0 tsi mt,1
1.0 95cv,1
1.0L turbo,1
1.6 vti 115,1
4 Cilindros en línea con turbocompresor de geometría variable (TGV) e intercooler,1
Diesel td,1
srx,1
1.6I,1
"1,4 250TSI",1
2.7 NAFTA,1
THP 1.6,1
250Tsi,1
250TSI 150cv,1
1.4TSI 150CV,1
VW 1.4 TSI 150cv,1
1.4 150 CV,1
1.4  250 TSI 150 CV,1
2.0 L,1
1.5 175CV AT,1
1.4 turbo 150cv,1
1.4 250 TSI 150 CV SPORT,1
Hev,1
250 TSI 1.4 TIP,1
250TSI 1.4 TIP,1
250 TSI turbo naftero 1.4 litros de 150 CV y 250 Nm,1
1.4 Tsi 250Nm,1
1.0 turbo t200 120 cv,1
1.6L,1
1.4L TURBO,1
1598cc,1
THP,1
"2,5",1
Turbo 2.0 con 184 cv,1
2.0 184cv,1
1.5 Turbo Mitsubishi cadenero 148hp,1
1.5 turbo 148hp cadenero,1
1.5 Turbo 148hp cadenero,1
3008 GT Pack AM23.5,1
Híbrido enchufable,1
292cv,1
Nafta / Electrico,1
340cv,1
3000cc 6Cil  360HP,1
3000cc 6Cil 360HP,1
30,1
3.0 TURBO INTERCOOLER,1
292 CV - Turbo - Hibrido enchufable + nafta,1
292hp,1
Turbo 258 CV - 2.0,1
Turbo M Performance con 306 cv,1
40i,1
Nafta,1
srv sw4,1
2.0T 198 MILD HYBRID,1
2.5T,1
T8 462HP,1
T6,1
2.0t 247hp,1
262HP PLUG IN HYBRID,1
2.0T 247HP,1
2.0 HDI,1
1.6 PLUG-IN HYBRID VEHICLE,1
2.0 T5,1
1.5T Luxury Dct AT,1
"4.4L 8 cilindros en V , 575 CV",1
M,1
Mitsubishi 1.5 TURBO,1
1.5 Turbo geometría variable 183hp,1
X55 1.5 Turbo Dct - Luxury,1
1.5 TURBO CTV - LUXURY,1
1.5 TURBO DCT - LUXURY BI-TONO,1
1.6THP,1
2000,1
Turbo 2.0 l 231cv,1
18i,1
1800,1
"2,0",1
2.0 L 185 CV,1
2.0 155cv,1
turbo diesel 3.0,1
2.8 Tdi 200 cv,1
2.8 TD,1
Motor 2.8 L turbo diesel,1
1.6 NAFTA THP,1
1.2 LT,1
2.0t,1
CHEVROLET 1.2 TURBO,1
1.8 N,1
1.2 Turbo 3 cilindros,1
1.87 PREMIER 4X2 MT,1
1200 cc,1
1.2 turbo  132 cv,1
1.2 TURBO 3 CILINDROS,1
1.6 Cilindrada 1.598 cm3,1
2.0 CRDI 180CV,1
2.0 Turbo diésel de 180cv y 400Nm,1
2.0 CRDI DE 180CV,1
2.0 16V CRDI,1
231cv,1
2.0 231CV,1
204cv,1
Turbo 231 CV,1
Turbo 205 CV,1
Turbo 140CV - 2.0,1
2.0 Turbo de 205 CV,1
Turbo 2.0 de 205 cv - 4x4,1
Turbo de 140 CV,1
2.0T 231cv,1
1500 cc,1
2.2 TURBO DIESEL,1
THP 1.6 TURBO,1
"2,2 TDI",1
NISSAN 2.5 181cv,1
Inyeccion Multi Punto,1
3008 Gt Pack Am23.5 Ultima Unidad (p),1
-,1
Toyota 1GD,1
2.8Tdi c/TGV 204CV y Cadena distr,1
T270 1.3T,1
4,1
1.3 TURBO NAFTA 175CV,1
6,1
1.3L t270,1
8,1
1.3 t 175 cv,1
1.3 t 270 175 cv,1
v6,1
1.300,1
1.6 CVT,1
T270,1
1.5 TURBO 170CV,1
1.5 turbo 171 CV,1
"1,6",1
AZUL,1
FORD 2.0,1
55,1
136 CV,1
5.7 v8 420cv,1
2.0 Nafta,1
mazda,1
2000 cc,1
2.5L,1
2.5 nafta hibrido,1
2.5L HIBRIDO AUTORECARGABLE,1
1.3 T270 175 CV,1
2.5l Hibrida,1
T270 1.3L GSE - Turbo Nafta,1
1.6 cadenero   120 cv,1
T270 1.3L GSE - TURBO NAFTA,1
1.6L 120CV,1
1.5 Diesel,1
1.6 SCE,1
1.5 121 CV,1
"2,8",1
Diesel 2.8,1
1.3 t 270,1
Mazda 2.0 diesel,1
Peugeot,1
1.3 TCE,1
1.3L TCe Turbo,1
Toyota,1
1.5 TURBO 190 CV,1
1.8 nafta combinado con uno eléctrico,1
1.8 hibrido,1
1.8 HIBRIDO,1
1.5 115 CV,1
NAFTA 1.5,1
1.6 115Cv,1
Nafta / Hibrido,1
Naftero,1
2.0 CVT,1
1.3L TCe Turbo 155CV CVT X-Tronic 8,1
18HV,1
1.8L,1
Ex Cvt 1.5 2WD,1
2.4 LX 4X2 AT,1
1.5 turbo 191 cv,1
1.8 HEV,1
ECVT,1
4cilindros 2.0 turbo de 306 CV,1
PURETECH 1.2,1
4 cilindros 2.0 de 306 CV,1
215 CV,1
1.6 PURETECH 215,1
"Nissan 1,6",1
RENAULT HR16 1.6 16v (115 cv y 156 Nm).,1
1.3 cvt,1
192 HP,1
1.3 TCe 155Cv,1
1.3 TURBO 163 cv,1
1.6/1.3 TCE,1
1.3 BITURBO,1
1.6/1.3TCE,1
1.3 TURBO NISSAN Cadenero.,1
1.3t tce,1
1.3 tce 155cv,1
1.6 THP 200 CV + 2 motores eléctricos 1 en cada eje de 110 CV c/u,1
"1,6 Turbo",1
"nafta 1,6",1
2.0 hdi,1
1.6 Puretech At 215,1
2.5 Turbo,1
1.3L TURBO NAFTA 175CV,1
V8,1
"1,3 t 175 cv 270 Nm",1
1.8 mt,1
1.3/1.8,1
2.4 Multiair,1
1.3 t 270 nm,1
1.3 175cv,1
1.6 THP 165CV,1
1.3L T270,1
"1,3 t270 nm 175 cv",1
DIESEL 2.2,1
3.0 440hp,1
1.8 E-torq evo,1
1.8 e-torq evo,1
1.8 L 130 cv,1
1.8 E-torq,1
3.0 V6 340HP,1
1.3 Nafta,1
3.0 V6 356HP,1
